Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Pkt Len Mean,Flow Byts/s,Flow Pkts/s,SYN Flag Cnt,Init Fwd Win Byts,ACK Flag Cnt,RST Flag Cnt
443,62375,6,10414.0,1,0,54.0,0,0,0,16388,0,0
443,62684,6,9918.0,1,0,54.0,0,0,0,71,0,0
443,62684,6,0.0,1,0,528.0,0,0,0,71,0,0
62684,443,6,58.0,1,0,54.0,0,0,0,255,0,0
62684,443,6,93.0,1,0,54.0,0,0,0,254,0,0
443,62687,6,5119.0,1,0,54.0,0,0,0,81,0,0
62687,443,6,87.0,1,0,1414.0,0,0,0,255,0,0
62687,443,6,0.0,1,0,1414.0,0,0,0,255,0,0
443,62687,6,758.0,1,0,54.0,0,0,0,84,0,0
443,62687,6,0.0,1,0,54.0,0,0,0,87,0,0
62687,443,6,40.0,1,0,1414.0,0,0,0,255,0,0
62687,443,6,0.0,1,0,1414.0,0,0,0,255,0,0
62583,443,6,968.0,1,0,1414.0,0,0,0,254,0,0
62375,443,6,7595.0,1,0,172.0,0,0,0,250,0,0
62375,443,6,122.0,1,0,1414.0,0,0,0,250,0,0
62375,443,6,0.0,1,0,1414.0,0,0,0,250,0,0
62375,443,6,0.0,1,0,1414.0,0,0,0,250,0,0
62375,443,6,0.0,1,0,395.0,0,0,0,250,0,0
443,62375,6,5281.0,1,0,54.0,0,0,0,16388,0,0
62687,443,6,965.0,1,0,1414.0,0,0,0,255,0,0
443,62375,6,15123.0,1,0,54.0,0,0,0,16389,0,0
443,62375,6,6434.0,1,0,54.0,0,0,0,16389,0,0
443,62375,6,26737.0,1,0,54.0,0,0,0,16389,0,0
443,62375,6,4877.0,1,0,153.0,0,0,0,16389,0,0
62375,443,6,40141.0,1,0,54.0,0,0,0,255,0,0
62375,443,6,267.0,1,0,173.0,0,0,0,255,0,0
62375,443,6,26.0,1,0,1414.0,0,0,0,255,0,0
62375,443,6,0.0,1,0,1414.0,0,0,0,255,0,0
62375,443,6,0.0,1,0,1414.0,0,0,0,255,0,0
62375,443,6,0.0,1,0,1414.0,0,0,0,255,0,0
62375,443,6,0.0,1,0,1385.0,0,0,0,255,0,0
60490,5222,6,370.0,1,0,124.0,0,0,0,253,0,0
60490,5222,6,169.0,1,0,206.0,0,0,0,253,0,0
443,62214,6,4257.0,1,0,105.0,0,0,0,302,0,0
62214,443,6,280.0,1,0,54.0,0,0,0,252,0,0
62621,443,6,16718.0,1,0,55.0,0,0,0,255,0,0
62013,443,6,5902.0,1,0,192.0,0,0,0,251,0,0
62013,443,6,145.0,1,0,294.0,0,0,0,251,0,0
443,62214,6,16572.0,1,0,54.0,0,0,0,302,0,0
60490,5222,6,48830.0,1,0,276.0,0,0,0,253,0,0
62599,443,6,37237.0,1,0,55.0,0,0,0,511,0,0
443,62375,6,10487.0,1,0,54.0,0,0,0,16388,0,0
443,62375,6,15838.999999999998,1,0,54.0,0,0,0,16389,0,0
443,62375,6,21078.0,1,0,54.0,0,0,0,16389,0,0
443,62375,6,32092.000000000004,1,0,54.0,0,0,0,16383,0,0
443,62375,6,17476.0,1,0,153.0,0,0,0,16383,0,0
62375,443,6,1233.0,1,0,89.0,0,0,0,255,0,0
443,62214,6,18299.0,1,0,78.0,0,0,0,302,0,0
62214,443,6,87.0,1,0,54.0,0,0,0,0,0,0
443,62621,6,24686.0,1,0,66.0,0,0,0,8,0,0
5222,60490,6,22610.0,1,0,54.0,0,0,0,2165,0,0
443,62599,6,2142.0,1,0,66.0,0,0,0,10,0,0
5222,60490,6,6242.0,1,0,126.0,0,0,0,2165,0,0
5222,60490,6,9917.0,1,0,252.0,0,0,0,2165,0,0
60490,5222,6,108.0,1,0,54.0,0,0,0,252,0,0
443,62013,6,15937.0,1,0,54.0,0,0,0,549,0,0
443,62013,6,19521.0,1,0,315.0,0,0,0,549,0,0
62013,443,6,5775.0,1,0,54.0,0,0,0,250,0,0
443,62375,6,6221.0,1,0,153.0,0,0,0,16383,0,0
62375,443,6,54.0,1,0,66.0,0,0,0,255,0,0
443,62683,6,29016.0,1,0,93.0,0,0,0,77,0,0
62683,443,6,483.0,1,0,54.0,0,0,0,252,0,0
62375,443,6,21947.0,1,0,54.0,0,0,0,255,0,0
443,62375,6,28532.0,1,0,54.0,0,0,0,16389,0,0
443,62375,6,13940.0,1,0,54.0,0,0,0,16389,0,0
62375,443,6,98.0,1,0,54.0,0,0,0,255,0,0
443,62683,6,12692.0,1,0,54.0,0,0,0,77,0,0
62683,443,6,73.0,1,0,54.0,0,0,0,252,0,0
443,62683,6,110.0,1,0,78.0,0,0,0,77,0,0
62683,443,6,59.0,1,0,54.0,0,0,0,0,0,0
443,62583,6,17741.0,1,0,89.0,0,0,0,89,0,0
62583,443,6,184.0,1,0,1414.0,0,0,0,254,0,0
62583,443,6,0.0,1,0,1414.0,0,0,0,254,0,0
62687,443,6,28607.0,1,0,1414.0,0,0,0,255,0,0
